"index","id","earnings","occ","ability","age","region","female","education","exp"
"97",97,3891,24,83,47,2,1,13,29
"98",98,3686.5,5,99,49,1,0,10,32
"99",99,3894,26,73,43,4,1,12,27
"100",100,4059.5,47,38,40,1,0,5,34
"101",101,5192.5,47,90,45,2,1,9,30
"102",102,4479.5,23,84,43,4,1,12,26
"103",103,3688.5,14,81,30,1,0,11,18
"104",104,3044,13,26,38,4,1,4,27
"105",105,5362,46,92,32,1,1,10,16
"106",106,3692.5,20,63,43,2,0,9,33
"107",107,3606.5,22,96,44,4,1,9,34
"108",108,3871.5,15,87,31,3,1,13,13
"109",109,4290,39,65,30,3,0,6,17
"110",110,3669.5,33,40,36,2,0,5,29
"111",111,3958,36,32,48,2,0,5,38
"112",112,2918.5,25,22,34,1,1,3,29
"113",113,2668.5,10,54,44,1,0,5,32
"114",114,4587.5,35,92,41,2,0,11,29
"115",115,3064.5,14,46,49,1,0,6,40
"116",116,3214.5,20,53,46,1,0,6,38
"117",117,2937,5,43,40,4,1,5,29
"118",118,4648,30,91,38,4,1,10,27
"119",119,3398,12,84,47,1,0,14,27
"120",120,2484.5,4,82,38,1,0,9,22
"121",121,4502.5,36,87,30,3,0,11,18
"122",122,1955.5,5,39,41,2,1,5,30
"123",123,2552,2,79,39,1,0,10,25
"124",124,2341,3,65,35,1,1,8,22
"125",125,3219.5,6,68,38,2,0,7,29
"126",126,3167,32,36,35,4,1,3,31
"127",127,5128.5,48,45,46,1,1,7,35
"128",128,4364.5,32,70,30,2,0,11,17
"129",129,4957.5,44,74,47,4,1,8,34
"130",130,2237.5,10,47,34,1,0,5,28
"131",131,5101,48,78,42,3,1,12,28
"132",132,4506.5,28,92,43,2,0,9,31
"133",133,3947.5,27,46,42,4,0,8,33
"134",134,2799,23,30,32,2,1,3,25
"135",135,4087,29,51,45,2,1,6,37
"136",136,2626,19,22,43,2,0,2,40
"137",137,2652,7,57,40,4,0,6,28
"138",138,3191,21,68,45,3,0,6,33
"139",139,4814.5,37,57,47,3,1,9,35
"140",140,4783,39,94,30,2,1,13,11
"141",141,4054.5,26,89,48,3,1,15,29
"142",142,3351,16,86,38,4,1,14,17
"143",143,4874.5,38,81,41,3,1,14,21
"144",144,2488.5,1,42,34,4,0,5,25
"145",145,3766.5,38,48,46,1,1,6,35
"146",146,2289.5,11,22,47,4,1,3,38
"147",147,4452.5,50,59,35,3,1,9,25
"148",148,3972.5,26,53,37,1,0,8,24
"149",149,5001.5,41,83,33,1,0,9,20
"150",150,2699.5,12,71,30,2,1,7,16
"151",151,3304,14,60,30,2,1,8,21
"152",152,3918.5,44,39,47,2,0,5,41
"153",153,4556,47,27,35,3,1,4,26
"154",154,4307,22,76,47,2,1,11,29
"155",155,3253,9,82,38,2,0,13,24
"156",156,2715.5,4,42,34,2,0,4,25
"157",157,4634.5,43,61,31,2,0,6,21
"158",158,3452.5,12,52,44,4,0,8,33
"159",159,4279.5,28,98,42,1,0,16,22
"160",160,4442.5,50,53,44,1,0,9,34
"161",161,2678.5,16,23,37,3,0,2,28
"162",162,4246,35,46,37,1,0,6,25
"163",163,3193.5,4,82,46,2,0,9,31
"164",164,1558,2,25,40,4,0,2,34
"165",165,4539.5,47,33,45,3,1,4,35
"166",166,4420.5,28,81,36,1,0,11,24
"167",167,2621.5,20,41,39,4,0,4,33
"168",168,3185.5,25,23,43,1,0,2,36
"169",169,2915.5,13,34,39,1,1,3,31
"170",170,3014.5,20,34,30,1,1,4,23
"171",171,4485,28,71,45,1,0,11,29
"172",172,3636.5,4,98,39,4,0,9,25
"173",173,3088.5,5,83,48,3,1,12,35
"174",174,5009,47,76,47,2,0,10,36
"175",175,2796.5,8,46,48,1,0,5,36
"176",176,2544,10,46,43,4,0,7,34
"177",177,2582.5,14,30,43,2,1,4,32
"178",178,4299,36,92,41,3,0,10,27
"179",179,4484,47,23,34,2,0,2,28
"180",180,4972.5,45,74,38,3,0,8,24
"181",181,2514.5,2,80,36,3,0,9,26
"182",182,3417.5,9,81,37,4,1,12,22
"183",183,2595.5,2,78,35,2,0,8,21
"184",184,4274.5,31,50,37,4,1,8,24
"185",185,3255,29,53,33,1,0,7,21
"186",186,4601,37,65,38,1,0,10,25
"187",187,4797.5,42,50,48,1,1,8,39
"188",188,3387.5,24,23,48,1,1,4,43
"189",189,2757.5,11,51,38,3,1,5,31
"190",190,5182,39,69,49,2,0,11,32
"191",191,5066,49,86,41,4,0,14,26
"192",192,4742,50,41,32,2,1,5,25
"193",193,6158.5,50,96,41,4,1,14,20
"194",194,4444.5,39,62,38,2,1,9,28
"195",195,3884,30,79,38,3,1,11,24
"196",196,3271.5,27,46,40,2,1,7,32
"197",197,3525.5,4,83,46,1,1,12,27
"198",198,3357,30,22,36,2,0,2,30
"199",199,3540.5,35,39,47,2,0,4,41
"200",200,3073,25,23,46,2,1,2,41
"201",201,4456.5,43,42,40,4,0,6,27
"202",202,4071.5,33,84,37,1,1,11,21
"203",203,4538,44,84,38,2,0,9,24
"204",204,3662.5,23,72,38,2,0,8,25
"205",205,2000,1,29,43,1,0,4,37
"206",206,3849.5,19,67,30,2,0,11,15
"207",207,4171,44,22,32,1,1,3,22
"208",208,3468.5,21,79,42,4,1,10,30
"209",209,3718,16,85,31,2,0,12,16
"210",210,3472,5,87,42,1,0,10,27
"211",211,2525.5,2,62,34,1,0,6,26
"212",212,5422,49,69,36,4,0,8,24
"213",213,4150.5,33,60,43,4,1,9,28
"214",214,4045.5,33,69,40,1,0,7,32
"215",215,3253,4,96,45,2,1,15,25
"216",216,4456.5,45,36,36,3,0,6,26
"217",217,3303.5,14,55,44,2,1,7,36
"218",218,2804.5,13,29,45,3,1,4,39
"219",219,3506,23,96,31,4,1,9,17
"220",220,3835,35,39,39,1,1,5,30
"221",221,3586.5,13,88,30,2,0,11,13
"222",222,3103.5,5,49,48,3,0,8,38
"223",223,3214,18,73,38,2,1,13,23
"224",224,1934.5,10,37,32,2,0,3,27
"225",225,3327.5,5,86,35,2,1,10,24
"226",226,3186.5,23,57,34,3,0,6,22
"227",227,2733,21,34,36,1,0,4,25
"228",228,2951,20,40,45,1,0,6,35
"229",229,4143,26,72,39,3,0,8,27
"230",230,3419.5,29,47,37,2,0,7,29
"231",231,2742.5,9,64,35,3,0,9,22
"232",232,2834,14,23,38,3,1,3,30
"233",233,3790.5,33,41,43,1,0,6,30
"234",234,2328,4,54,41,4,0,5,34
"235",235,3597.5,27,68,31,3,0,7,20
"236",236,3777,34,44,42,4,1,5,31
"237",237,2535,8,46,34,4,0,7,22
"238",238,3540.5,26,33,30,3,1,5,23
"239",239,3602,11,71,35,3,0,11,17
"240",240,4643,29,92,33,3,1,12,20
"241",241,6432,52,97,49,3,1,16,30
"242",242,3400.5,20,35,49,3,0,6,36
"243",243,3460,36,26,32,1,1,3,24
"244",244,4182,39,27,38,2,0,4,28
"245",245,4047,26,94,37,3,0,11,21
"246",246,4694.5,43,56,43,4,0,6,31
"247",247,2857.5,13,35,41,2,0,4,35
"248",248,3347.5,28,47,39,1,0,8,26
"249",249,4928,34,96,42,2,1,11,29
"250",250,5077,45,63,42,4,0,11,28
"251",251,4187,33,92,40,2,0,13,24
"252",252,2899.5,15,69,33,2,0,11,21
"253",253,2631,7,41,46,1,0,6,39
"254",254,3276.5,19,39,40,3,1,5,29
"255",255,1891,11,26,36,1,0,3,29
"256",256,4324,41,74,46,1,1,10,34
"257",257,3477,27,48,48,3,1,7,40
"258",258,3479,10,84,48,3,0,14,27
"259",259,3255.5,30,42,37,3,0,6,26
"260",260,4583,47,36,47,3,0,5,37
"261",261,2844,20,20,31,1,1,3,22
"262",262,2496,6,60,32,3,0,8,19
"263",263,3976.5,27,89,35,1,1,11,23
"264",264,2279,19,23,33,3,0,3,23
"265",265,3570,18,78,43,2,1,9,31
"266",266,5402,49,86,44,3,1,14,26
"267",267,4207.5,21,90,41,2,1,15,24
"268",268,5216.5,42,97,47,2,0,17,29
"269",269,3766.5,34,51,41,3,1,7,29
"270",270,4627.5,46,73,34,3,1,8,23
"271",271,3629.5,41,32,31,4,1,3,26
"272",272,4762,49,23,45,3,0,2,37
"273",273,4265.5,24,95,47,3,0,9,34
"274",274,2216.5,11,36,30,4,1,4,22
"275",275,3810,20,84,41,3,0,13,27
"276",276,3316,17,47,43,2,1,7,29
"277",277,3576,26,36,48,3,0,6,35
"278",278,1712.5,4,23,36,1,0,2,30
"279",279,2176.5,11,32,43,2,1,4,32
"280",280,2196.5,9,38,36,3,1,4,27
"281",281,5371.5,44,99,49,2,0,13,31
"282",282,4668,28,96,35,2,1,10,19
"283",283,2031.5,9,38,40,3,1,4,33
"284",284,4536.5,17,95,49,2,1,16,26
"285",285,5487,43,86,45,4,0,15,24
"286",286,2354,2,82,35,1,0,9,19
"287",287,5582.5,48,78,35,2,0,11,23
"288",288,5192,50,64,39,4,1,9,29
"289",289,4783,35,69,42,4,1,9,27
"290",290,4949.5,49,62,38,2,1,7,26
"291",291,5508.5,50,96,35,1,0,15,18
"292",292,2613.5,24,26,33,3,0,3,28
"293",293,4179.5,16,98,46,1,0,10,34
"294",294,4009.5,37,24,46,2,1,4,36
"295",295,2731.5,18,25,49,2,0,4,43
"296",296,3271.5,20,29,43,2,0,3,37
"297",297,3515,41,20,31,1,1,3,22
"298",298,4469.5,38,97,40,2,1,12,26
"299",299,3466,46,24,30,1,0,2,27
"300",300,4574,36,95,42,1,1,15,20
"301",301,3072.5,16,43,41,1,0,7,32
"302",302,4121.5,20,72,40,2,1,12,24
"303",303,2762.5,8,35,41,1,0,4,30
"304",304,3268,25,21,35,3,0,3,27
"305",305,3530,23,83,42,2,1,11,29
"306",306,2730,4,33,39,4,1,5,29
"307",307,4535.5,49,46,37,1,1,6,27
"308",308,4462.5,49,47,40,1,0,5,28
"309",309,3702.5,11,89,37,4,0,11,25
"310",310,4737,38,88,35,3,1,11,22
"311",311,5272,47,61,43,3,1,8,34
"312",312,2156.5,2,54,33,1,1,6,21
"313",313,2951.5,14,36,44,1,1,6,33
"314",314,3130.5,19,47,36,4,0,7,23
"315",315,2238.5,16,25,40,2,0,3,33
"316",316,4478,34,79,35,1,0,10,23
"317",317,3135,22,45,30,2,1,4,19
"318",318,3984,33,89,37,3,1,9,22
"319",319,4365,22,97,37,2,1,13,21
"320",320,5285,50,66,38,1,0,10,21
"321",321,4576,43,62,39,4,0,9,24
"322",322,3008.5,6,46,43,3,0,5,32
"323",323,3801,15,83,31,2,0,12,16
"324",324,2230,5,59,37,3,1,8,26
"325",325,3782,31,44,43,1,1,4,36
"326",326,4210.5,23,76,36,3,1,10,21
"327",327,4095,19,83,39,4,0,11,26
"328",328,2865.5,3,79,31,4,1,11,16
"329",329,2916.5,19,22,31,3,0,3,26
"330",330,3744.5,39,29,34,1,0,5,28
"331",331,3350.5,25,61,46,1,1,8,31
"332",332,4466.5,44,55,34,3,0,6,26
"333",333,5216,47,68,42,2,0,11,24
"334",334,5165.5,42,79,49,3,0,12,30
"335",335,2568,11,39,33,1,1,4,26
"336",336,3483,15,69,48,1,0,7,39
"337",337,4379.5,42,32,44,3,1,4,33
"338",338,5813,50,98,49,2,0,14,30
"339",339,2054.5,11,23,37,2,1,2,30
"340",340,4646,36,72,41,3,0,9,31
"341",341,3767.5,19,66,36,3,0,7,26
"342",342,2292.5,3,42,47,1,1,5,37
"343",343,4275,40,88,30,1,0,12,11
"344",344,4794.5,48,36,41,4,1,5,30
"345",345,3120.5,16,86,30,3,0,14,14
"346",346,3659,20,49,45,1,0,8,31
"347",347,4063,25,96,31,4,0,14,12
"348",348,3946.5,41,44,46,4,0,5,35
"349",349,3574,8,80,49,1,0,12,35
"350",350,3090.5,6,92,32,2,0,9,17
"351",351,3531,31,62,35,2,1,8,21
"352",352,2651.5,8,24,38,2,0,4,29
"353",353,3155.5,34,25,40,2,1,3,36
"354",354,3757.5,16,98,36,2,1,17,12
"355",355,4895,39,66,38,3,0,11,21
"356",356,2932.5,18,55,39,3,0,9,28
"357",357,1983.5,3,47,46,2,0,4,39
"358",358,4139,25,74,38,3,0,13,19
"359",359,2329.5,5,55,37,4,1,8,26
"360",360,4202,28,64,38,2,0,8,28
"361",361,4277.5,24,97,33,1,0,15,16
"362",362,3016,8,78,43,3,0,9,29
"363",363,4476.5,41,62,49,4,0,7,41
"364",364,4923.5,50,46,36,2,0,7,25
"365",365,4459,42,35,37,1,1,4,32
"366",366,3127,12,89,31,1,0,14,15
"367",367,3500.5,16,58,33,2,1,7,22
"368",368,2997,9,42,42,4,1,5,31
"369",369,5104.5,35,94,38,1,1,16,15
"370",370,2944.5,13,62,34,2,1,10,18
"371",371,4003.5,14,82,48,1,0,11,36
"372",372,4094.5,22,85,43,2,0,11,25
"373",373,3376.5,22,60,46,3,1,7,33
"374",374,4422,30,60,41,1,0,9,27
"375",375,3992,22,72,31,1,0,12,15
"376",376,1320,1,20,32,3,1,3,28
"377",377,2315.5,10,28,39,3,0,4,34
"378",378,3950.5,25,79,31,4,0,9,19
"379",379,3882,34,85,34,2,0,8,20
"380",380,5156.5,48,63,31,1,0,6,22
"381",381,4061.5,39,69,36,2,0,9,23
"382",382,4743.5,49,79,49,2,1,9,38
"383",383,2550.5,19,31,36,3,0,3,26
"384",384,4474,39,54,43,4,0,5,36
"385",385,5148.5,51,60,32,4,0,9,19
"386",386,3156.5,11,73,45,3,0,12,28
"387",387,4616.5,28,81,37,3,0,13,20
"388",388,4159.5,40,40,37,2,0,4,31
"389",389,2030,6,49,34,3,1,6,22
"390",390,3376,29,36,31,2,0,4,26
"391",391,1630,3,26,44,3,1,4,36
"392",392,4633.5,35,78,36,1,1,9,21
"393",393,4836,46,46,37,2,1,6,25
"394",394,2947,5,78,31,4,1,7,23
"395",395,4090,40,41,40,2,0,7,28
"396",396,2822,8,43,47,4,0,4,42
"397",397,3983,24,86,49,1,1,9,38
"398",398,3326,16,68,42,1,1,6,30
"399",399,4446,32,88,45,2,0,11,32
"400",400,3878,30,68,38,3,1,7,28
"401",401,5456.5,52,94,49,1,0,14,30
"402",402,4817.5,49,29,34,4,1,3,24
"403",403,5172,43,95,42,3,1,15,24
"404",404,3816,12,85,42,1,1,13,26
"405",405,3995,20,65,43,2,1,8,29
"406",406,4048,33,68,44,3,1,9,30
"407",407,2850,4,71,35,2,0,7,24
"408",408,5000,48,61,46,2,0,10,30
"409",409,3122.5,20,68,35,2,1,10,22
"410",410,5223.5,51,84,40,1,0,14,24
"411",411,4574,51,53,38,1,1,6,30
"412",412,4295,39,39,33,2,0,6,20
"413",413,4754,51,58,45,4,0,7,36
"414",414,2869.5,16,40,46,4,0,7,35
"415",415,4991.5,51,90,38,3,0,11,24
"416",416,2794,12,30,37,4,1,4,31
"417",417,3742,34,50,46,2,1,8,33
"418",418,2584,16,37,46,2,1,5,35
"419",419,3566.5,26,38,47,3,1,4,39
"420",420,3148.5,31,34,45,2,0,3,39
"421",421,3753,32,31,43,1,0,5,33
"422",422,3078,9,40,45,1,1,6,36
"423",423,4332,23,82,47,4,0,11,32
"424",424,3912.5,31,68,37,1,1,10,25
"425",425,3442.5,33,38,37,4,0,6,25
"426",426,4859,47,53,47,3,0,6,37
"427",427,3137,35,28,33,1,0,3,27
"428",428,5312,46,93,44,4,1,16,27
"429",429,4024.5,44,29,47,3,0,3,42
"430",430,3674,21,95,33,3,0,14,13
"431",431,3247.5,19,53,38,4,1,5,28
"432",432,3947,50,23,31,4,1,2,25
"433",433,2649.5,2,71,45,4,1,8,36
"434",434,4141.5,21,90,46,4,0,12,33
"435",435,2479.5,6,62,44,1,0,7,30
"436",436,3352.5,32,47,48,3,1,5,41
"437",437,3437,4,91,47,3,0,14,29
"438",438,2996,34,21,33,4,1,3,29
"439",439,4589.5,40,76,38,1,0,8,28
"440",440,4628.5,39,54,37,3,1,9,27
"441",441,2624,10,26,40,4,1,4,29
"442",442,3700.5,27,73,40,3,1,11,27
"443",443,2416.5,16,25,37,1,0,4,28
"444",444,3042,8,58,44,3,0,9,31
"445",445,1907.5,6,37,38,3,0,6,30
"446",446,2641.5,15,54,32,4,0,6,23
"447",447,4161.5,27,90,34,1,1,15,15
"448",448,2571.5,3,32,44,2,1,4,38
"449",449,3619.5,16,77,47,2,1,13,30
"450",450,3048,17,44,31,3,1,5,20
"451",451,2933.5,2,79,34,2,1,8,22
"452",452,3945.5,31,92,37,1,1,10,25
"453",453,3605,25,84,33,3,0,9,19
"454",454,3563.5,13,74,36,4,1,11,18
"455",455,3892.5,39,30,45,2,1,4,40
"456",456,2843,17,53,37,3,1,8,22
"457",457,3817,23,51,40,3,1,7,26
"458",458,3445,21,74,35,3,0,8,25
"459",459,3489.5,27,68,30,4,0,11,15
"460",460,4397.5,22,86,34,3,1,12,17
"461",461,2831.5,8,59,44,3,0,10,28
"462",462,3055,17,22,40,2,0,3,30
"463",463,4083.5,38,29,39,4,0,5,29
"464",464,2227,5,49,30,3,1,6,20
"465",465,4762,40,69,36,2,0,8,22
"466",466,3295.5,37,32,33,3,1,5,27
"467",467,3831,47,23,41,2,0,2,38
"468",468,4147,50,27,47,4,1,4,37
"469",469,3921,48,31,42,4,1,4,35
"470",470,3325,25,40,39,3,0,7,25
"471",471,2454.5,5,50,42,3,1,8,31
"472",472,4508,48,39,31,1,0,5,19
"473",473,4726,41,77,40,1,0,8,25
"474",474,2663.5,18,31,40,3,1,3,33
"475",475,4541,43,93,31,2,1,11,13
"476",476,1827,6,30,45,3,1,3,36
"477",477,5636,47,97,30,3,0,11,13
"478",478,4068.5,26,60,48,2,1,8,36
"479",479,3401,17,39,38,3,0,5,29
"480",480,5224.5,41,84,38,4,1,12,24
"481",481,2955.5,11,91,37,3,0,10,26
"482",482,2378,12,50,30,4,0,5,22
"483",483,3707.5,22,76,37,1,1,9,21
"484",484,4945,39,89,41,1,1,11,28
"485",485,4982,46,60,31,3,1,6,20
"486",486,2855.5,13,58,33,2,0,7,19
"487",487,3637.5,18,56,32,4,1,8,20
"488",488,2895.5,6,99,33,1,1,17,11
"489",489,4511.5,39,58,43,3,0,9,30
"490",490,2428,16,31,41,1,1,3,36
"491",491,2631.5,19,39,40,2,1,4,30
"492",492,5203.5,41,93,43,3,1,12,29
"493",493,2652.5,23,28,33,3,1,4,23
"494",494,3704.5,16,71,32,1,1,9,17
"495",495,3763.5,23,89,45,4,0,12,27
"496",496,4649,30,76,40,4,0,11,26
"497",497,3359,25,55,41,2,1,7,27
"498",498,3305.5,31,37,44,2,0,4,35
"499",499,4035,33,32,41,2,0,5,34
"500",500,3950.5,16,95,42,2,1,15,22
"501",501,2228.5,2,48,47,3,0,4,36
"502",502,4665,48,50,34,4,0,7,20
"503",503,4580,30,97,34,1,1,15,14
"504",504,4615.5,49,63,37,2,0,8,23
"505",505,4096,16,87,31,1,1,15,12
"506",506,3089,18,32,49,2,1,3,45
"507",507,4008,29,45,35,2,1,7,25
"508",508,4524,38,74,46,2,1,9,33
"509",509,3400.5,37,30,47,1,0,5,38
"510",510,3703,36,37,40,3,0,5,31
"511",511,3570.5,18,62,41,1,1,7,33
"512",512,2703,9,48,31,3,1,6,22
"513",513,3586.5,26,29,38,4,0,3,29
"514",514,3543,24,72,44,3,1,8,34
"515",515,5402,43,99,35,4,1,12,19
"516",516,2649,27,27,32,1,1,3,28
"517",517,4225,37,53,34,2,0,6,26
"518",518,4980.5,40,76,36,4,1,8,26
"519",519,4797.5,45,35,47,2,1,4,36
"520",520,4087.5,40,28,48,1,0,3,40
"521",521,4236.5,29,86,30,2,0,13,15
"522",522,3278.5,6,70,41,2,0,10,25
"523",523,3057.5,14,58,44,4,1,8,34
"524",524,3429.5,30,36,38,4,1,4,30
"525",525,3915,29,71,44,1,1,11,26
"526",526,4448.5,37,94,40,2,1,11,28
"527",527,3528,33,39,41,2,0,6,32
"528",528,2680.5,18,37,46,3,1,5,35
"529",529,4686.5,45,91,32,4,0,11,17
"530",530,5031,43,58,46,4,0,9,30
"531",531,3323,22,38,47,1,0,4,37
"532",532,4588,40,79,31,2,1,8,21
"533",533,4188.5,33,37,40,4,1,4,30
"534",534,2728.5,11,28,37,4,0,3,27
"535",535,4620.5,44,74,42,1,1,7,31
"536",536,5200,48,62,41,1,0,10,25
"537",537,4347,25,96,47,2,1,16,27
"538",538,4259.5,44,42,41,1,0,7,28
"539",539,2926.5,3,92,30,2,1,11,16
"540",540,4066.5,36,60,36,3,1,6,23
"541",541,4463,28,67,49,2,0,10,36
"542",542,4842.5,45,96,33,4,1,13,14
"543",543,2918.5,10,75,33,4,1,8,20
"544",544,2590.5,7,74,41,3,1,7,31
"545",545,4261,24,72,37,2,1,9,23
"546",546,3845.5,18,84,33,2,0,11,17
"547",547,4706.5,39,68,42,4,0,8,33
"548",548,2106.5,3,68,31,3,1,9,21
"549",549,4041,31,75,34,4,0,7,26
"550",550,3252.5,26,54,40,3,1,6,29
"551",551,3477,20,94,34,2,1,10,19
"552",552,3190,5,66,41,4,1,9,31
"553",553,5644,47,99,33,1,1,14,18
"554",554,3389,21,74,30,1,1,12,16
"555",555,4233,19,84,42,2,0,11,28
"556",556,3066.5,11,46,37,1,1,6,29
"557",557,2703,14,35,30,2,1,3,25
"558",558,3697.5,25,52,40,1,1,7,29
"559",559,3360.5,18,59,45,2,1,7,34
"560",560,3064,9,71,46,2,0,8,32
"561",561,3162.5,3,85,43,3,1,10,29
"562",562,4927.5,49,60,40,1,0,6,28
"563",563,5342,48,71,34,2,1,8,23
"564",564,3225,11,46,39,4,0,6,26
"565",565,5357.5,50,70,42,4,0,10,29
"566",566,2286.5,8,44,45,2,1,7,36
"567",567,4074.5,31,47,43,3,1,5,37
"568",568,3726,36,31,44,3,1,4,38
"569",569,3526,6,92,41,1,1,16,24
"570",570,4429.5,42,42,44,2,1,7,32
"571",571,4695.5,30,84,38,1,1,10,27
"572",572,3505,7,95,32,1,1,16,10
"573",573,3262.5,30,28,34,3,0,4,24
"574",574,3139.5,28,25,33,1,1,3,29
"575",575,4187.5,49,26,38,1,0,3,30
"576",576,3938.5,29,57,43,4,1,6,36
"577",577,2257,4,57,36,4,1,7,25
"578",578,4752.5,50,54,41,3,1,7,29
"579",579,3733.5,32,60,30,1,1,10,17
"580",580,2626.5,22,35,31,1,1,3,23
"581",581,4028,22,58,41,3,1,9,30
"582",582,3135.5,13,71,41,4,1,10,30
"583",583,3533.5,31,23,40,2,1,3,30
"584",584,3741.5,42,32,32,1,1,4,27
"585",585,4757.5,43,69,38,1,1,11,21
"586",586,3799,23,53,40,1,1,8,30
"587",587,4169,37,39,42,2,0,6,32
"588",588,3958,33,31,38,1,1,3,30
"589",589,3027.5,29,44,31,3,1,6,23
"590",590,4684.5,46,62,31,3,1,8,21
"591",591,3949.5,43,33,40,4,0,5,31
"592",592,2971,33,27,33,1,1,3,26
"593",593,3669.5,28,40,46,1,1,4,39
"594",594,4207.5,39,34,43,3,0,3,34
"595",595,3952.5,46,48,31,3,0,5,24
"596",596,2714,4,97,31,2,1,12,17
"597",597,3375,34,43,31,2,1,6,23
"598",598,3026.5,32,31,30,2,1,5,22
"599",599,4672.5,28,85,42,2,0,11,25
"600",600,3432.5,21,58,38,2,0,7,27
"601",601,3941.5,36,33,30,2,1,4,24
"602",602,5542,49,95,44,1,1,16,22
"603",603,5454.5,51,87,32,3,1,14,11
"604",604,5593.5,46,99,37,1,0,13,20
